star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname
TIC 230168635,"317,9959677","17,72774693","317,9953974","17,72375013",230168635,"1,78799E+18","1,78799E+18",104659,2MASS J21115903+1743403,1653-00979-1,null,HD 201891,tic_near,"-122,133421","0,01903669164","-899,404017","0,01474017836",GaiaDR3,2023A&A...674A...1G,"7,74",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"7,88",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"7,37",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"6,91",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"6,59",null,Simbad 2002yCat.2237....0D,2002yCat.2237....0D,"6,254","0,024",TIC,2019AJ....158..138S,"5,993","0,031",TIC,2019AJ....158..138S,"5,935","0,021",TIC,2019AJ....158..138S,"6,83","0,006","7,231156349","0,002760205114",gaia_dr3,2023A&A...674A...1G,"7,500702858","0,002802945609","6,780890465","0,003799379655","29,87749381","0,02046098933",GaiaDR3,2023A&A...674A...1G,"33,43367767","0,02500724792",bj2021,2021AJ....161..147B,0,G5V_Fe-2.5,2003AJ....126.2048G,1,5888,12,Pastel,2022A&A...663A...4S,"4,482419894","0,02047602546",calculated_from_M_and_R,Calculated Value,"4,32","0,03",Pastel,2022A&A...663A...4S,"-1,02","0,01",Pastel,2022A&A...663A...4S,"0,0320507427","0,01238288985",update_TIC,Calculated Value,"0,9971084886","0,01478471485",calc_from_L_and_Teff,Calculated Value,"1,101126194","0,04036021233",gaia_dr3_flame,2023A&A...674A...1G,0,null,null,gaia_dr3_flame,2023A&A...674A...1G,null,"5,855168","17,794067","1,78799E+18","5,855168","17,794067","1,78799E+18",0,0,null,null,null,null,null,null,0,null
TIC 304379558,"315,669808","45,88476824","315,6724037","45,88539609",304379558,"2,16356E+18","2,16356E+18",103859,2MASS J21024076+4553053,3588-03634-1,WDS J21028+4551C,HD 200560,tic_near,"406,8303782","0,01887520403","140,9891871","0,01938695833",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"8,694","0,017",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,714","0,011",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,1",null,Simbad 2003AJ....125..984M,2003AJ....125..984M,null,null,null,null,"5,944","0,029",TIC,2019AJ....158..138S,"6,953",null,TIC,2019AJ....158..138S,"5,372","0,027",TIC,2019AJ....158..138S,"6,83","0,006","7,43163681","0,002794304347",gaia_dr3,2023A&A...674A...1G,"7,921854496","0,003428481497","6,779132366","0,004084647432","51,39354914","0,01798655093",GaiaDR3,2023A&A...674A...1G,"19,44949532","0,007420539856",bj2021,2021AJ....161..147B,0,K2.5V,2003AJ....126.2048G,1,4974,29,Pastel,2022A&A...663A...4S,"4,556948928","0,02758419593",calculated_from_M_and_R,Calculated Value,"4,45","0,05",Pastel,2022A&A...663A...4S,"0,1","0,02",Pastel,2022A&A...663A...4S,"-0,4776699834","0,01339187316",update_TIC,Calculated Value,"0,7769732935","0,01501959961",calc_from_L_and_Teff,Calculated Value,"0,7937678099","0,04000002146",gaia_dr3_flame,2023A&A...674A...1G,0,"10,16036034","1,999491692",gaia_dr3_flame,2023A&A...674A...1G,null,"2,685065","11,583294","2,16356E+18","2,685065","11,583294","2,16356E+18",1,1,C,"152,1","-1,36",null,null,null,0,null
TIC 279249351,"103,9717497","-56,94239675","103,9717134","-56,93965082",279249351,"5,4841E+18","5,4841E+18",33324,2MASS J06555320-5656327,8545-00288-1,null,HD  51929,tic_near,"-4,47798434","0,02134706452","617,6663337","0,02331181243",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"8,02",null,Simbad,,"7,43",null,Simbad,,null,null,null,null,null,null,null,null,"6,231","0,024",TIC,2019AJ....158..138S,"5,959","0,053",TIC,2019AJ....158..138S,"5,853","0,026",TIC,2019AJ....158..138S,"6,83","0,006","7,257548809","0,002770089018",gaia_dr3,2023A&A...674A...1G,"7,545868874","0,003000874192","6,777086735","0,003808673937","26,70358711","0,01869183965",GaiaDR3,2023A&A...674A...1G,"37,43733978","0,02445030212",bj2021,2021AJ....161..147B,0,G2VFe-1.4CH-0.7,2006AJ....132..161G,1,5790,40,Pastel,2022A&A...663A...4S,"4,321298161","0,02414639975",calculated_from_M_and_R,Calculated Value,"4,18","0,15",Pastel,2022A&A...663A...4S,"-0,61","0,04",Pastel,2022A&A...663A...4S,"0,1214855846","0,01167275057",update_TIC,Calculated Value,"1,142979154","0,02203038455",calc_from_L_and_Teff,Calculated Value,"0,9984059334","0,04000151157",gaia_dr3_flame,2023A&A...674A...1G,0,"7,971944809","1,005094051",gaia_dr3_flame,2023A&A...674A...1G,null,null,null,null,null,null,null,0,0,null,null,null,null,null,null,0,null
TIC 258964346,"301,1952428","15,90314704","301,1953713","15,90337896",258964346,"1,80788E+18","1,80788E+18",98879,2MASS J20044685+1554114,1617-01356-1,WDS J20048+1554A,HD 190516,tic_near,"27,87866695","0,01908089779","52,09427715","0,01449984964",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"7,85","0,02",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,34","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,null,null,null,null,null,null,null,null,"6,289","0,023",TIC,2019AJ....158..138S,"6,146","0,024",TIC,2019AJ....158..138S,"6,045","0,021",TIC,2019AJ....158..138S,"6,831","0,006","7,213954449","0,002767053649",gaia_dr3,2023A&A...674A...1G,"7,473986149","0,002895509434","6,78580904","0,003885207892","24,19418312","0,01986615919",GaiaDR3,2023A&A...674A...1G,"41,26632309","0,03642082214",bj2021,2021AJ....161..147B,0,G0V,,1,"6211,880928",70,update_TIC,Calculated Value,"4,396782666","0,04018596023",calculated_from_M_and_R,Calculated Value,null,null,null,null,"-0,17",null,gcs_reanalysis,2011A&A...530A.138C,"0,2100454757","0,03133687656",update_TIC_gaia2,Calculated Value,"1,099585838","0,04677510383",calc_from_L_and_Teff,Calculated Value,"1,099444509","0,04000353813",gaia_dr3_flame,2023A&A...674A...1G,0,"3,653376579","0,7531266212",gaia_dr3_flame,2023A&A...674A...1G,null,"7,232579","19,15279","1,80788E+18","7,232579","19,15279","1,80788E+18",1,1,A,"46,1","2,2",null,null,null,0,null
TIC 36346568,"102,1489796","-4,075904126","102,1487613","-4,076265003",36346568,"3,10237E+18","3,10237E+18",32644,2MASS J06483577-0404330,4808-01599-1,WDS J06486-0405A,HD  49503A,tic_near,"-48,90273374","0,02453471348","-81,07399859","0,02412009798",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"7,791","0,016",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,311","0,011",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"8,03","0,17",Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,null,null,null,null,"6,284","0,027",TIC,2019AJ....158..138S,"6,052","0,053",TIC,2019AJ....158..138S,"5,973","0,026",TIC,2019AJ....158..138S,"6,831","0,006","7,192830563","0,002778937151",gaia_dr3,2023A&A...674A...1G,"7,437048912","0,003125459025","6,78570652","0,003898490045","20,65895456","0,0222892873",GaiaDR3,2023A&A...674A...1G,"48,34043503","0,04990005493",bj2021,2021AJ....161..147B,0,null,null,1,6260,116,TIC,2019AJ....158..138S,"4,288363979","0,03848385148",calculated_from_M_and_R,Calculated Value,null,null,null,null,"-0,19",null,gcs_reanalysis,2011A&A...530A.138C,"0,3614126093","0,01506080187",update_TIC,Calculated Value,"1,288873466","0,0527360358",calc_from_L_and_Teff,Calculated Value,"1,176838636","0,04000467062",gaia_dr3_flame,2023A&A...674A...1G,0,"3,363210678","0,6141058207",gaia_dr3_flame,2023A&A...674A...1G,null,"5,051106","8,301079","3,10237E+18","5,051106","8,301079","3,10237E+18",1,1,A,"5,1","1,29",null,null,null,0,null
TIC 358379437,"147,922196","-54,65962766","147,9220906","-54,66016252",358379437,"5,30818E+18","5,30818E+18",48376,2MASS J09514132-5439346,8602-00278-1,null,HD  85683,tic_near,"-13,52231749","0,01993450336","-120,0660205","0,0170447547",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"7,87","0,02",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,34","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,null,null,null,null,null,null,null,null,"6,366","0,024",TIC,2019AJ....158..138S,"6,12","0,029",TIC,2019AJ....158..138S,"6,043","0,026",TIC,2019AJ....158..138S,"6,831","0,006","7,220008373","0,002760754492",gaia_dr3,2023A&A...674A...1G,"7,483345985","0,002841512157","6,789810181","0,0038226087","22,57102936","0,01644751802",GaiaDR3,2023A&A...674A...1G,"44,28340149","0,03055000305",bj2021,2021AJ....161..147B,0,F8V,1975MSS...C01....0H,1,6149,28,Pastel,2022A&A...663A...4S,"4,311850705","0,02281762524",calculated_from_M_and_R,Calculated Value,"4,31","0,07",Pastel,2022A&A...663A...4S,"0,04","0,04",Pastel,2022A&A...663A...4S,"0,2754744167","0,0143627605",update_TIC,Calculated Value,"1,209987454","0,02284189843",calc_from_L_and_Teff,Calculated Value,"1,094825268","0,04000109434",gaia_dr3_flame,2023A&A...674A...1G,0,"5,064260483","0,7620844841",gaia_dr3_flame,2023A&A...674A...1G,null,"8,361968","19,060043","5,30819E+18","7,135913","19,486881","5,30818E+18",0,0,null,null,null,null,null,null,0,null
TIC 21598259,"182,0290008","39,65549651","182,028139","39,65546056",21598259,"1,53601E+18","1,53601E+18",59175,2MASS J12080698+3939197,3017-02101-1,null,HD 105405,tic_near,"-149,0905887","0,01825031824","-7,98470457","0,021018181",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"7,82","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,33","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,null,null,null,null,null,null,null,null,"6,318","0,017",TIC,2019AJ....158..138S,"6,104","0,02",TIC,2019AJ....158..138S,"6,047","0,017",TIC,2019AJ....158..138S,"6,832","0,006","7,208549023","0,002762248787",gaia_dr3,2023A&A...674A...1G,"7,460477829","0,002872167112","6,788443565","0,003814101844","21,12835987","0,02338631637",GaiaDR3,2023A&A...674A...1G,"47,26543045","0,06213378906",bj2021,2021AJ....161..147B,0,F8,1993yCat.3135....0C,1,6169,28,Pastel,2022A&A...663A...4S,"4,275188013","0,0227517833",calculated_from_M_and_R,Calculated Value,"4,25","0,07",Pastel,2022A&A...663A...4S,"-0,22","0,04",Pastel,2022A&A...663A...4S,"0,337000035","0,01499972002",update_TIC,Calculated Value,"1,290396338","0,02517510997",calc_from_L_and_Teff,Calculated Value,"1,144370437","0,04000383615",gaia_dr3_flame,2023A&A...674A...1G,0,"4,215948105","0,6674215794",gaia_dr3_flame,2023A&A...674A...1G,null,null,null,null,null,null,null,0,0,null,null,null,null,null,null,0,null
TIC 115071316,"202,0779579","-0,8401938644","202,0789518","-0,8419928738",115071316,"3,63875E+18","3,63875E+18",65708,2MASS J13281869-0050244,4959-01072-1,null,HD 117126,tic_near,"224,6000759","0,0769251883","-405,3099557","0,02957207337",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"8,08",null,Simbad,,"7,44",null,Simbad,,null,null,null,null,null,null,null,null,"6,254","0,021",TIC,2019AJ....158..138S,"5,95","0,046",TIC,2019AJ....158..138S,"5,845","0,018",TIC,2019AJ....158..138S,"6,832","0,006","7,278737545","0,002758421308",gaia_dr3,2023A&A...674A...1G,"7,601987362","0,002801465093","6,779702187","0,003797217921","23,11807168","0,06526488811",GaiaDR3,2023A&A...674A...1G,"43,17021942","0,1218109131",bj2021,2021AJ....161..147B,0,G3/5V,1999MSS...C05....0H,1,5731,16,Pastel,2022A&A...663A...4S,"4,172227218","0,02307721094",calculated_from_M_and_R,Calculated Value,"4,23","0,04",Pastel,2022A&A...663A...4S,"-0,05","0,02",Pastel,2022A&A...663A...4S,"0,2344096218","0,0133962905",update_TIC,Calculated Value,"1,328607314","0,02179271605",calc_from_L_and_Teff,Calculated Value,"0,957090199","0,04000791907",gaia_dr3_flame,2023A&A...674A...1G,0,"12,45798683","1,0914011",gaia_dr3_flame,2023A&A...674A...1G,null,null,null,null,null,null,null,0,1,null,null,null,null,null,null,0,null
TIC 157414155,"216,8390453","-14,83877887","216,8382539","-14,83904778",157414155,"6,29882E+18","6,29882E+18",70677,2MASS J14272139-1450195,5575-00980-1,WDS J14274-1450A,HD 126679,tic_near,"-172,2150605","0,02383049019","-60,28466113","0,02026451752",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"7,79","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,32","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,null,null,null,null,"14,45","0,05",Simbad 2005yCat.2263....0D,2005yCat.2263....0D,"6,397","0,046",TIC,2019AJ....158..138S,"6,157","0,038",TIC,2019AJ....158..138S,"6,103","0,029",TIC,2019AJ....158..138S,"6,832","0,006","7,194829941","0,002777124296",gaia_dr3,2023A&A...674A...1G,"7,437516212","0,002918953643","6,787129402","0,003829284443","22,11237403","0,02402976155",GaiaDR3,2023A&A...674A...1G,"45,14774323","0,0398979187",bj2021,2021AJ....161..147B,0,F7V,1988MSS...C04....0H,1,"6310,4","110,6",TIC,2019AJ....158..138S,"4,354265656","0,03737974634",calculated_from_M_and_R,Calculated Value,null,null,null,null,"-0,11",null,gcs_reanalysis,2011A&A...530A.138C,"0,3007115696","0,01560000797",update_TIC,Calculated Value,"1,182754616","0,04658458638",calc_from_L_and_Teff,Calculated Value,"1,153419614","0,04000324011",gaia_dr3_flame,2023A&A...674A...1G,0,"2,972253799","0,6523114443",gaia_dr3_flame,2023A&A...674A...1G,null,null,null,null,null,null,null,1,1,A,37,"9,7","6,29882E+18","37,0411","8,855",0,null
TIC 85085021,"311,5554514","15,90732144","311,5558691","15,90760688",85085021,"1,76299E+18","1,76299E+18",102490,2MASS J20461330+1554262,1634-03058-1,"WDS J20462+1554Aa,Ab",HD 197913A,tic_near,"87,69101007","0,2435327023","67,91578378","0,2189313471",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"8,24","0,02",Simbad 2002A&A...384..180F,2002A&A...384..180F,"7,45","0,01",Simbad 2002A&A...384..180F,2002A&A...384..180F,"8,16","0,03",Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,null,null,null,null,"6,131","0,029",TIC,2019AJ....158..138S,"5,834","0,036",TIC,2019AJ....158..138S,"5,69","0,016",TIC,2019AJ....158..138S,"6,832","0,006","7,334960938","0,002787558865",gaia_dr3,2023A&A...674A...1G,"7,699716568","0,002886278169","6,779105186","0,003830277271","27,28870287","0,270958662",GaiaDR3,2023A&A...674A...1G,"36,62067413","0,3565788269",bj2021,2021AJ....161..147B,0,G8,1955ApJ...121..337S,1,"5473,480156",70,update_TIC,Calculated Value,"4,24733804","0,07056710706",calculated_from_M_and_R,Calculated Value,null,null,null,null,"0,1400000006","0,05500000343",gspspec [M/H],2023A&A...674A...1G,"0,07620209411","0,03776695397",update_TIC_gaia2,Calculated Value,"1,21402211","0,06124267872",calc_from_L_and_Teff,Calculated Value,"0,95","0,121",TIC,2019AJ....158..138S,0,null,null,null,null,null,"6,178567","8,114929","1,76299E+18","6,178567","8,114929","1,76299E+18",1,1,"Aa,Ab",0,1,null,null,null,0,null
TIC 455681786,"332,8383189","47,1479379","332,838268","47,1479168",455681786,"1,97543E+18","1,97543E+18",null,2MASS J22112120+4708525,3610-01733-1,null,HD 210731,tic_near,"-7,622135792","0,01538817119","-4,925675579","0,01507898513",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"7,97","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,39","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,null,null,null,null,null,null,null,null,"6,234","0,023",TIC,2019AJ....158..138S,"5,979","0,023",TIC,2019AJ....158..138S,"5,951","0,033",TIC,2019AJ....158..138S,"6,833","0,006","7,249270439","0,002760531541",gaia_dr3,2023A&A...674A...1G,"7,540082455","0,002831223725","6,785443306","0,003800903784","23,63925517","0,01550048683",GaiaDR3,2023A&A...674A...1G,"42,25797653","0,02799415588",bj2021,2021AJ....161..147B,0,F8,1993yCat.3135....0C,1,5920,"147,6",TIC,2019AJ....158..138S,"4,259013745","0,04828700504",calculated_from_M_and_R,Calculated Value,null,null,null,null,"-0,25","0,004999995232",gspspec [M/H],2023A&A...674A...1G,"0,2264644728","0,01254830768",update_TIC,Calculated Value,"1,23379063","0,0640527964",calc_from_L_and_Teff,Calculated Value,"1,007926941","0,04007995129",gaia_dr3_flame,2023A&A...674A...1G,0,"8,98803997","0,9829268456",gaia_dr3_flame,2023A&A...674A...1G,null,"8,804503","18,717209","1,97543E+18","6,505741","19,844135","1,97543E+18",0,0,null,null,null,null,null,null,0,null
TIC 262587669,"132,3022042","3,484755648","132,3015435","3,485022546",262587669,"5,811E+17","5,811E+17",43297,2MASS J08491252+0329052,0216-00386-1,WDS J08492+0329A,HD  75302,tic_near,"-148,2381404","0,02465587109","60,20908037","0,02018493973",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"8,101",0,TIC apassdr9,2019AJ....158..138S,"7,45","0,03",TIC hipvmag,2019AJ....158..138S,7,null,Simbad 2003AJ....125..984M,2003AJ....125..984M,null,null,null,null,"6,238","0,021",TIC,2019AJ....158..138S,"5,952","0,049",TIC,2019AJ....158..138S,"5,84","0,02",TIC,2019AJ....158..138S,"6,833","0,006","7,29536581","0,002791369604",gaia_dr3,2023A&A...674A...1G,"7,632604122","0,003174471479","6,782099247","0,00398495142","32,97769657","0,02389420569",GaiaDR3,2023A&A...674A...1G,"30,29175186","0,02520942688",bj2021,2021AJ....161..147B,0,G5V,1999MSS...C05....0H,1,5700,16,Pastel,2022A&A...663A...4S,"4,450560235","0,02241441461",calculated_from_M_and_R,Calculated Value,"4,49","0,04",Pastel,2022A&A...663A...4S,"0,09","0,02",Pastel,2022A&A...663A...4S,"-0,07654979169","0,01057466525",update_TIC,Calculated Value,"0,9389188056","0,0125876993",calc_from_L_and_Teff,Calculated Value,"0,9072953463","0,04001119733",gaia_dr3_flame,2023A&A...674A...1G,0,"10,14998722","1,342886448",gaia_dr3_flame,2023A&A...674A...1G,null,null,null,null,null,null,null,1,1,A,"159,5","7,72","5,81104E+17","159,4515","6,4517",1,HD 75302
TIC 320959269,"272,0668611","29,69119407","272,0673474","29,69102597",320959269,"4,59046E+18","4,59046E+18",88848,2MASS J18081602+2941281,2103-00705-1,null,V* V815 Her,tic_near,"92,51354227","0,1176470071","-35,51407633","0,1414937377",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"8,4",null,Simbad,,"7,7",null,Simbad,,null,null,null,null,null,null,null,null,"6,125","0,019",TIC,2019AJ....158..138S,"5,764","0,046",TIC,2019AJ....158..138S,"5,606","0,017",TIC,2019AJ....158..138S,"6,833","0,006","7,332910061","0,002927557798",gaia_dr3,2023A&A...674A...1G,"7,699294567","0,004288246658","6,778596878","0,004564016144","31,1648866","0,1225030646",GaiaDR3,2023A&A...674A...1G,"32,08348465","0,1490497589",bj2021,2021AJ....161..147B,0,G5,2007AJ....133.2524W,0,5242,null,TIC,2019AJ....158..138S,"4,237217009",null,calculated_from_M_and_R,Calculated Value,null,null,null,null,"-0,51",null,gcs_reanalysis,2011A&A...530A.138C,"-0,02198393272","0,003904761124",gaia_dr3_flame,2023A&A...674A...1G,"1,182133828",null,calc_from_L_and_Teff,Calculated Value,"0,88","0,035",gcs_reanalysis,2011A&A...530A.138C,0,"10,24","3,88",gcs_reanalysis,2011A&A...530A.138C,null,null,null,null,null,null,null,0,0,null,null,null,null,null,null,0,null
TIC 408012676,"3,542721134","-7,199115063","3,543189503","-7,199416929",408012676,"2,43116E+18","2,43116E+18",1134,2MASS J00141025-0711569,4670-00773-1,WDS J00142-0712AB,HD    984,tic_near,"104,7748969","0,03622372821","-68,01622364","0,0216015093",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"7,82","0,02",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,32","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,null,null,null,null,null,null,null,null,"6,402","0,023",TIC,2019AJ....158..138S,"6,17","0,038",TIC,2019AJ....158..138S,"6,073","0,021",TIC,2019AJ....158..138S,"6,834","0,006","7,207706451","0,002793954761",gaia_dr3,2023A&A...674A...1G,"7,460301876","0,003186334117","6,791342735","0,003947931809","21,87697784","0,02485888824",GaiaDR3,2023A&A...674A...1G,"45,6267395","0,05071640015",bj2021,2021AJ....161..147B,0,F7V,1999MSS...C05....0H,1,6370,56,Pastel,2022A&A...663A...4S,"4,359881163","0,02758322746",calculated_from_M_and_R,Calculated Value,"4,57","0,26",Pastel,2022A&A...663A...4S,"0,18","0,09",Pastel,2022A&A...663A...4S,"0,3052992445","0,01715346883",update_TIC,Calculated Value,"1,166872494","0,03085381689",calc_from_L_and_Teff,Calculated Value,"1,13726151","0,04000288248",gaia_dr3_flame,2023A&A...674A...1G,0,"3,720149279","0,6802127361",gaia_dr3_flame,2023A&A...674A...1G,null,null,null,null,null,null,null,1,1,AB,"0,2","6,12",null,null,null,0,null
TIC 291505147,"255,0682156","10,82281085","255,0686475","10,82236233",291505147,"4,44486E+18","4,44486E+18",83204,2MASS J17001637+1049220,0980-00012-1,null,HD 153627,tic_near,"95,68500319","0,01873956248","-100,8058188","0,01586688869",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"7,96","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,38","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,null,null,null,null,null,null,null,null,"6,288","0,024",TIC,2019AJ....158..138S,"6,035","0,034",TIC,2019AJ....158..138S,"5,956","0,017",TIC,2019AJ....158..138S,"6,835","0,006","7,245064735","0,0027612695",gaia_dr3,2023A&A...674A...1G,"7,527283669","0,002817836446","6,787196636","0,003800744597","23,67855322","0,01954591274",GaiaDR3,2023A&A...674A...1G,"42,1745491","0,03490829468",bj2021,2021AJ....161..147B,0,F8,1993yCat.3135....0C,1,5943,21,Pastel,2022A&A...663A...4S,"4,282958395","0,02215026951",calculated_from_M_and_R,Calculated Value,"4,27","0,04",Pastel,2022A&A...663A...4S,"-0,32","0,02",Pastel,2022A&A...663A...4S,"0,2258058545","0,01329680871",update_TIC,Calculated Value,"1,223331367","0,02062665553",calc_from_L_and_Teff,Calculated Value,"1,047077894","0,04006510973",gaia_dr3_flame,2023A&A...674A...1G,0,"7,242434978","0,8758468628",gaia_dr3_flame,2023A&A...674A...1G,null,"7,676074","18,973928","4,44486E+18","7,676074","18,973928","4,44486E+18",0,0,null,null,null,null,null,null,0,null
TIC 292206680,"231,0101154","-27,30522101","231,0101049","-27,30541967",292206680,"6,21364E+18","6,21364E+18",75363,2MASS J15240243-2718188,6771-00243-1,WDS J15240-2718A,HD 136894,tic_near,"-2,341090584","0,03066121601","-44,29128619","0,02792616002",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"8,27","0,02",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,"7,53","0,01",Simbad 2000A&A...355L..27H,2000A&A...355L..27H,null,null,null,null,null,null,null,null,"6,198","0,021",TIC,2019AJ....158..138S,"5,832","0,038",TIC,2019AJ....158..138S,"5,722","0,018",TIC,2019AJ....158..138S,"6,835","0,006","7,332719326","0,002763680297",gaia_dr3,2023A&A...674A...1G,"7,703407288","0,002802475096","6,78661871","0,003827454199","37,01768784","0,02789364383",GaiaDR3,2023A&A...674A...1G,"26,99138641","0,01964378357",bj2021,2021AJ....161..147B,0,G8+V,2006AJ....132..161G,1,5429,24,Pastel,2022A&A...663A...4S,"4,48374789","0,05746239878",calculated_from_M_and_R,Calculated Value,"4,39","0,05",Pastel,2022A&A...663A...4S,"-0,09","0,03",Pastel,2022A&A...663A...4S,"-0,1789783322","0,01084941364",update_TIC,Calculated Value,"0,9198643662","0,01407698445",calc_from_L_and_Teff,Calculated Value,"0,94","0,121",TIC,2019AJ....158..138S,0,null,null,null,null,null,"9,848116","19,066782","6,21364E+18","9,848116","19,066782","6,21364E+18",1,1,A,"14,4","6,39",null,null,null,0,null
TIC 102718782,"62,39599941","69,54139135","62,39692879","69,54006456",102718782,"4,93935E+17","4,93935E+17",19422,2MASS J04093502+6932292,4332-00349-1,null,HD  25665,tic_near,"73,01073436","0,01285273116","-298,6765125","0,01558475383",GaiaDR3,2023A&A...674A...1G,null,null,null,null,"8,671","0,019",TIC tycho2b3,2019AJ....158..138S,"7,7","0,03",TIC hipvmag,2019AJ....158..138S,"7,1",null,Simbad 2003AJ....125..984M,2003AJ....125..984M,null,null,null,null,"5,989","0,026",TIC,2019AJ....158..138S,"5,539","0,027",TIC,2019AJ....158..138S,"5,457","0,023",TIC,2019AJ....158..138S,"6,835","0,006","7,429706573","0,002758334182",gaia_dr3,2023A&A...674A...1G,"7,912200451","0,002813622021","6,783802986","0,003798046196","53,25619959","0,0170290824",GaiaDR3,2023A&A...674A...1G,"18,76535797","0,005585670471",bj2021,2021AJ....161..147B,0,K2.5V,2003AJ....126.2048G,1,4939,17,Pastel,2022A&A...663A...4S,"4,553535501","0,02595668358",calculated_from_M_and_R,Calculated Value,"4,6","0,07",Pastel,2022A&A...663A...4S,"-0,02","0,02",Pastel,2022A&A...663A...4S,"-0,5019740443","0,01110558793",update_TIC,Calculated Value,"0,7662801408","0,01112731195",calc_from_L_and_Teff,Calculated Value,"0,766025126","0,0400147438",gaia_dr3_flame,2023A&A...674A...1G,0,null,null,gaia_dr3_flame,2023A&A...674A...1G,null,null,null,null,null,null,null,0,0,null,null,null,null,null,null,0,null
