hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_rvflag,st_lbtiflag,st_probeflag,st_k2flag,st_k2campaign,st_ppnum,wds_designation,wds_sep,wds_deltamag,ra,raerr,rastr,dec,decerr,decstr,st_glon,st_glonerr,st_glat,st_glaterr,st_fracplxunc,st_dist,st_disterr1,st_disterr2,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_vmag,st_vmagerr,st_vmagsrc,st_kmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_vmk,st_vmkerr,st_vmksrc,st_spttype,st_lumclass,st_spttag,st_mbol,st_mbolerr,st_mbolsrc,st_mbolflag,st_lbol,st_lbolerr,st_lbolsrc,st_teff,st_tefferr,st_teffsrc,st_logg,st_loggerr,st_loggsrc,st_metfe,st_metfeerr,st_metfesrc,st_metratio,st_rad,st_raderr,st_radsrc,st_mass,st_masserr,st_masssrc,st_age,st_ageerr,st_agesrc,st_actclass,st_eeidau,st_eeidauerr,st_eeidmas,st_eeidmaserr,st_fpbearth,st_fpbeartherr,st_vmagearth,st_vmageartherr,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_j2m,st_j2merr,st_j2mlim,st_h2m,st_h2merr,st_h2mlim,st_ks2m,st_ks2merr,st_ks2mlim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,star_name
HIP 1842,,GJ 3032,2MASS J00231851-5053380,1,0,0,0,0,0,0,0,,0,,,,5.825079,,00h23m18.02s,-50.893872,,-50d53m37.9s,313.726053,,-65.640518,,0.05,19.68,1.04,-0.94,548.1,,-0.9,,11.89,0.01,Koen,2MASS,1.52,0.01,Koen,4.5,0.04,,M:,MAINSEQ,M,10.42,0.13,,0,0.03,0.16,V-K,3474,,V-K,,,,,,,,0.49,,Turnbull,0.41,,Turnbull,,,,,0.18,,9.02,,0,,32.98,,1,0,1,0,0,2,0,8.259,0.023,0,7.64,0.038,0,7.375,0.036,0,,,,,,,,,,,,,HIP 1842
HIP 1936,HD 2025,GJ 18,2MASS J00242587-2701364,1,0,0,0,0,0,0,0,,0,,,,6.106239,,00h24m25.50s,-27.026976,,-27d01m37.1s,32.356845,,-83.986854,,0.02,18.22,0.37,-0.36,667.4,,83.9,,7.92,0.01,Koen,2MASS,0.95,0.01,Koen,2.36,0.03,,K2V,MAINSEQ,K,6.61,0.05,,0,0.26,0.05,V-K,4865,,2005ApJS..159..141V,4.61,,2007ApJS..168..297T,-0.29,,,[Fe/H],0.71,,2007ApJS..168..297T,0.73,,2007ApJS..168..297T,0.76,,2007ApJS..168..297T,I,0.51,,28.17,,0,,31.31,,1,0,1,0,0,2,0,6.197,0.021,0,5.707,0.04,0,5.559,0.018,0,,,,,,,,,,,,,HIP 1936
HIP 9044,HD 12058,GJ 81.2,2MASS J01563250-6013359,1,0,0,0,0,0,0,0,,0,,,,29.133206,,01h56m31.97s,-60.2271,,-60d13m37.6s,288.860595,,-55.087007,,0.01,19.94,0.2,-0.2,446.7,,190.2,,8.61,0,G,2MASS,1.14,0,G,2.72,0.03,,K5V,MAINSEQ,K,7.11,0.03,,0,0.2,0.04,V-K,4557,,V-K,,,,,,,,0.71,,Turnbull,0.66,,Turnbull,,,,A,0.44,,22.17,,0,,31.68,,1,0,1,0,0,2,0,6.566,0.025,0,5.99,0.053,0,5.888,0.029,0,,,,,,,,,,,,,HIP 9044
HIP 10072,,GJ 3139,2MASS J02093608-1421321,1,0,0,0,0,0,0,0,,0,,,,32.399261,,02h09m35.82s,-14.358219,,-14d21m29.6s,181.813789,,-67.76071,,0.05,19.73,1.04,-0.94,518.6,,-353,,11.78,0,G,2MASS,1.52,0.01,G,4.52,0.02,,,MAINSEQ,M,10.3,0.11,,0,0.04,0.15,V-K,3463,,V-K,,,,,,,,0.52,,Turnbull,0.42,,Turnbull,,,,,0.19,,9.5,,0,,32.99,,1,0,1,0,0,2,0,8.122,0.021,0,7.498,0.049,0,7.259,0.016,0,,,,,,,,,,,,,HIP 10072
HIP 12709,HD 16909,GJ 106,2MASS J02432085+1925452,1,0,0,0,0,0,0,0,,0,02433+1926,,,40.836047,,02h43m20.65s,19.429282,,+19d25m45.4s,156.14122,,-36.124625,,0.02,18.88,0.39,-0.37,434.7,,-15.5,,8.24,0.03,VT,2MASS,1.07,0,G,2.7,0.03,,K5,MAINSEQ,K,6.86,0.07,,0,0.25,0.08,V-K,4575,,V-K,,,,,,,,0.79,,Turnbull,0.7,,Turnbull,,,,A,0.5,,26.25,,0,,31.56,,1,0,1,0,0,2,1,6.239,0.024,0,5.692,0.018,0,5.539,0.017,0,,,,,,,,,,,,,HIP 12709
HIP 14165,,GJ 121.1,2MASS J03023801-1809587,1,0,0,0,0,0,0,0,,0,,,,45.657527,,03h02m37.81s,-18.166722,,-18d10m00.2s,203.369601,,-58.538127,,0.08,19.58,1.7,-1.45,401.1,,163.2,,11.79,0.01,Koen,2MASS,1.53,0.01,Koen,4.43,0.03,,,MAINSEQ,M,10.33,0.19,,0,0.03,0.21,V-K,3502,,V-K,,,,,,,,0.49,,Turnbull,0.42,,Turnbull,,,,,0.18,,9.21,,0,,32.92,,1,0,1,0,0,2,0,8.208,0.03,0,7.587,0.042,0,7.337,0.022,0,,,,,,,,,,,,,HIP 14165
HIP 15095,HD 20280,GJ 131,2MASS J03144460-2626466,1,0,0,0,0,0,0,0,,0,,,,48.685346,,03h14m44.48s,-26.446487,,-26d26m47.4s,220.039427,,-58.120868,,0.02,19.17,0.39,-0.38,216.3,,98,,9.14,0.01,Koen,2MASS,1.25,0.01,Koen,3.1,0.02,,K5V,MAINSEQ,K,7.73,0.07,,0,0.14,0.07,V-K,4270,,V-K,,,,,,,,0.67,,Turnbull,0.6,,Turnbull,,,,A,0.37,,19.28,,0,,31.82,,1,0,1,0,0,2,1,6.86,0.027,0,6.267,0.045,0,6.067,0.017,0,6.032,0.105,0,5.995,0.044,0,6.022,0.014,0,5.938,0.039,0,HIP 15095
HIP 17651,HD 23754,GJ 155,2MASS J03465090-2314585,1,1,0,0,0,1,1,0,,0,,,,56.712454,,03h46m50.99s,-23.248438,,-23d14m54.4s,217.349461,,-50.323455,,0,17.63,,,-159.9,,-528.5,,4.22,0.01,G,,0.43,0.01,G,,,,F3/5V,MAINSEQ,F,2.99,0.02,,0,5.39,0.1,B-V,6631,,Gray,4.06,,Gray,,,,,1.76,,Turnbull,1.54,,Turnbull,,,,A,2.32,,131.76,,0,,30.89,,1,0,1,0,0,2,0,3.609,0.302,0,3.393,0.236,0,3.353,0.27,0,,,,,,,,,,,,,HIP 17651
HIP 18450,HD 25004,GJ 1066,2MASS J03563637-4120367,1,0,0,0,0,0,0,0,,0,,,,59.151386,,03h56m36.33s,-41.343795,,-41d20m37.7s,245.851933,,-49.720889,,0.01,17.76,0.18,-0.18,62.7,,91.5,,8.87,0.04,VT,2MASS,1.21,0,G,3.04,0.04,,K4V,MAINSEQ,K,7.63,0.07,,0,0.15,0.08,V-K,4318,,V-K,,,,,,,,0.69,,Turnbull,0.61,,Turnbull,,,,A,0.39,,21.8,,0,,31.66,,1,0,1,0,0,2,0,6.599,0.02,0,5.975,0.029,0,5.837,0.024,0,5.819,0.126,0,5.74,0.043,0,5.801,0.015,0,5.754,0.038,0,HIP 18450
HIP 18859,HD 25457,GJ 159,2MASS J04023675-0016078,1,0,0,0,1,0,0,0,,0,,,,60.652736,,04h02m36.66s,-0.268311,,-00d16m05.9s,190.739843,,-36.871974,,0.01,18.83,0.19,-0.19,151.2,,-252,,5.38,0.02,VT,,0.52,0.01,G,,,,F7/8V,MAINSEQ,F,4,0.03,,0,2.17,0.1,B-V,6308,,Gray,4.38,,Gray,,,,,1.23,,Turnbull,1.22,,Turnbull,,,,A,1.47,,78.2,,0,,31.06,,1,0,1,0,0,2,3,4.712,0.236,0,4.342,0.076,0,4.181,0.036,0,,,,,,,,,,,,,HIP 18859
HIP 18915,HD 25329,GJ 158,2MASS J04031512+3516226,1,0,0,0,0,0,0,0,,0,04033+3516,,,60.807338,,04h03m13.76s,35.276595,,+35d16m35.7s,161.386336,,-12.903742,,0.02,18.29,0.37,-0.36,1732.5,,-1365.5,,8.51,0,G,2MASS,0.86,0,G,2.32,0.02,,K1V...,MAINSEQ,K,7.2,0.04,,0,0.15,0.04,V-K,4889,,Gray,4.83,,Gray,,,,,0.54,,Turnbull,0.62,,Turnbull,,,,VI,0.39,,21.23,,0,,31.3,,1,0,1,0,0,2,1,6.768,0.03,0,6.297,0.038,0,6.195,0.015,0,,,,,,,,,,,,,HIP 18915
HIP 19422,HD 25665,GJ 161,2MASS J04093502+6932292,1,0,0,0,0,0,0,0,,0,,,,62.395493,,04h09m34.92s,69.542118,,+69d32m31.6s,138.771184,,13.023631,,0.01,18.75,0.19,-0.19,73.1,,-298.5,,7.7,0.02,VT,2MASS,0.95,0.01,G,2.24,0.03,,G5,MAINSEQ,G,6.33,0.05,,0,0.32,0.06,V-K,4936,,2005ApJS..159..141V,4.57,,2007ApJS..168..297T,-0.03,,,[Fe/H],0.77,,2007ApJS..168..297T,0.78,,2007ApJS..168..297T,13,,2007ApJS..168..297T,I,0.57,,30.38,,0,,31.32,,1,0,1,0,0,2,2,5.989,0.025,0,5.539,0.027,0,5.457,0.022,0,,,,,,,,,,,,,HIP 19422
HIP 22451,HD 30876,GJ 3317,2MASS J04495233-3506273,1,0,0,0,0,0,0,0,,0,,,,72.468127,,04h49m52.35s,-35.107353,,-35d06m26.5s,237.535088,,-39.092714,,0.01,17.75,0.18,-0.18,-26.3,,-113.9,,7.5,0.01,Koen,2MASS,0.9,0.01,Koen,2.15,0.03,,K2V,MAINSEQ,K,6.25,0.03,,0,0.34,0.04,V-K,5061,,2005ApJS..159..141V,4.61,,2007ApJS..168..297T,-0.06,,,[Fe/H],0.77,,2007ApJS..168..297T,0.82,,2007ApJS..168..297T,0.44,,2007ApJS..168..297T,,0.59,,32.98,,0,,31.18,,1,0,1,0,0,2,0,5.896,0.025,0,5.443,0.055,0,5.334,0.02,0,,,,,,,,,,,,,HIP 22451
HIP 22907,HD 31560,GJ 2037,2MASS J04554189-2833500,1,0,0,0,0,0,0,0,,0,,,,73.924107,,04h55m41.79s,-28.563361,,-28d33m48.1s,229.711332,,-36.5987,,0.01,17.89,0.18,-0.18,187.6,,-227.6,,8.12,0.01,Koen,2MASS,1.09,0.01,Koen,2.59,0.02,,K3/4V,MAINSEQ,K,6.86,0.04,,0,0.23,0.04,V-K,4744,,2005ApJS..159..141V,4.62,,2007ApJS..168..297T,0.14,,,[Fe/H],0.72,,2007ApJS..168..297T,0.78,,2007ApJS..168..297T,5.1,,2005ApJS..159..141V,A,0.48,,27.06,,0,,31.39,,1,0,1,0,0,2,1,6.19,0.021,0,5.686,0.033,0,5.545,0.021,0,,,,,,,,,,,,,HIP 22907
HIP 23140,,GJ 1074,2MASS J04584599+5056378,1,0,0,0,0,0,0,0,,0,,,,74.689689,,04h58m45.53s,50.944642,,+50d56m40.7s,156.826892,,5.127091,,0.04,19.31,0.8,-0.74,502.5,,-335.7,,10.97,0.01,G,2MASS,1.43,0.01,G,3.93,0.03,,M0V:,MAINSEQ,M,9.54,0.11,,0,0.05,0.14,V-K,3753,,V-K,,,,,,,,0.5,,Turnbull,0.45,,Turnbull,,,,,0.21,,11.04,,0,,32.46,,1,0,1,0,0,2,0,7.896,0.018,0,7.265,0.024,0,7.042,0.022,0,,,,,,,,,,,,,HIP 23140
HIP 25283,HD 35650,,2MASS J05243016-3858106,1,0,0,0,0,0,0,0,,0,,,,81.125572,,05h24m30.14s,-38.969513,,-38d58m10.2s,243.609934,,-32.887855,,0.02,18,0.37,-0.35,44,,-58.4,,9.08,0.01,Koen,2MASS,1.29,0.01,Koen,3.22,0.05,,K2,MAINSEQ,K,7.8,0.05,,0,0.13,0.07,V-K,4186,,V-K,,,,,,,,0.69,,Turnbull,0.59,,Turnbull,,,,A,0.36,,20.09,,0,,31.71,,1,0,1,0,0,2,0,6.702,0.018,0,6.105,0.026,0,5.921,0.018,0,5.883,0.109,0,5.813,0.041,0,5.84,0.015,0,5.725,0.035,0,HIP 25283
HIP 25421,HD 35854,GJ 1079,2MASS J05261471-3230170,1,0,0,0,0,0,0,0,,0,,,,81.560701,,05h26m14.57s,-32.504544,,-32d30m16.4s,236.242551,,-31.175415,,0.01,17.77,0.18,-0.18,246.7,,-90.7,,7.7,0.02,VT,2MASS,0.95,0,G,2.31,0.03,,K2/3V,MAINSEQ,K,6.45,0.04,,0,0.3,0.05,V-K,4948,,2005ApJS..159..141V,4.62,,2007ApJS..168..297T,-0.04,,,[Fe/H],0.76,,2007ApJS..168..297T,0.81,,2007ApJS..168..297T,6.4,,2005ApJS..159..141V,I,0.55,,30.85,,0,,31.23,,1,0,1,0,0,2,0,6.014,0.029,0,5.492,0.029,0,5.386,0.02,0,,,,,,,,,,,,,HIP 25421
HIP 25544,HD 36435,GJ 204.1,2MASS J05273934-6024575,1,0,0,0,0,0,0,0,,0,,,,81.914697,,05h27m39.53s,-60.415769,,-60d24m56.8s,269.313101,,-33.614583,,0.01,19.2,0.19,-0.19,-148.9,,-92.8,,6.98,0.01,Koen,2MASS,0.77,0.01,Koen,1.79,0.02,,G6/8V,MAINSEQ,G,5.57,0.03,,0,0.57,0.04,V-K,5424,,Gray,4.48,,Gray,,,,,0.85,,Turnbull,0.87,,Turnbull,,,,A,0.75,,39.3,,0,,31.22,,1,0,1,0,0,2,0,5.704,0.018,0,5.342,0.049,0,5.2,0.018,0,,,,,,,,,,,,,HIP 25544
HIP 25775,HD 274255,,2MASS J05301400-4241502,1,0,0,0,0,0,0,0,,0,,,,82.558238,,05h30m13.98s,-42.696979,,-42d41m49.1s,248.18749,,-32.422201,,0.02,18.78,0.38,-0.37,33.1,,-145.3,,9.71,0.01,Koen,2MASS,1.39,0.01,Koen,3.45,0.07,,M0V,MAINSEQ,M,8.34,0.05,,0,0.1,0.09,V-K,4039,,V-K,,,,,,,,0.63,,Turnbull,0.55,,Turnbull,,,,,0.31,,16.54,,0,,32.01,,1,0,1,0,0,2,0,7.149,0.03,0,6.47,0.047,0,6.269,0.021,0,6.247,0.095,0,6.177,0.027,0,6.186,0.015,0,6.036,0.038,0,HIP 25775
HIP 26394,HD 39091,GJ 9189,2MASS J05370988-8028090,1,1,1,0,1,0,1,0,,2,,,,84.286636,,05h37m08.79s,-80.471675,,-80d28m18.0s,292.516543,,-29.77634,,0,18.32,,,312,,1050.2,,5.65,0,G,,0.6,0,G,,,,G1V,MAINSEQ,G,4.34,0.01,,0,1.64,0.1,B-V,5950,,2005ApJS..159..141V,4.35,,2007ApJS..168..297T,0.05,,,[Fe/H],1.18,,2007ApJS..168..297T,1.07,,2007ApJS..168..297T,5.44,,2007ApJS..168..297T,I,1.28,,69.94,,0,,31.03,,3,0,1,2,0,2,1,4.869,0.272,0,4.424,0.226,0,4.241,0.027,0,4.269,0.329,0,3.972,0.16,0,4.199,0.02,0,4.219,0.02,0,HD 39091
HIP 27321,HD 39060,GJ 219,2MASS J05471708-5103594,1,1,0,0,1,0,1,0,,2,05473-5104,,,86.821181,,05h47m17.08s,-51.066713,,-51d04m00.2s,258.36411,,-30.611665,,0,19.44,,,4.7,,82,,3.85,0,G,Koornneef,0.17,0,G,0.42,0.05,,A5V,MAINSEQ,A,2.41,0.01,,0,9.08,0.05,V-K,8052,,Gray,4.15,,Gray,,,,,1.55,,Turnbull,1.76,,Turnbull,,,,,3.01,,155.03,,0,,31.09,,1,0,1,0,0,2,0,3.669,0.236,0,3.544,0.2,0,3.526,0.222,0,3.484,0.372,0,3.182,0.249,0,2.597,0.007,0,0.014,0.016,0,bet Pic
HIP 29525,HD 42807,GJ 230,2MASS J06131250+1037374,1,0,0,0,0,0,0,0,,0,,,,93.301902,,06h13m12.46s,10.627866,,+10d37m40.3s,199.104481,,-3.50521,,0.01,17.95,0.18,-0.18,78.1,,-297.1,,6.42,0.02,VT,2MASS,0.66,0.01,G,1.57,0.03,,G8V,MAINSEQ,G,5.15,0.04,,0,0.79,0.04,V-K,5617,,Gray,4.5,,Gray,,,,,0.94,,Turnbull,0.94,,Turnbull,,,,A,0.89,,49.48,,0,,31.01,,1,0,1,0,0,2,1,5.253,0.043,0,5.01,0.021,0,4.849,0.018,0,,,,,,,,,,,,,HIP 29525
HIP 31555,,,2MASS J06361826-4000238,1,0,0,0,0,0,0,0,,0,,,,99.076662,,06h36m18.40s,-40.006736,,-40d00m24.2s,248.627284,,-19.762121,,0.03,19.55,0.6,-0.57,-226.1,,42.6,,10.59,0.01,Koen,2MASS,1.48,0.01,Koen,3.81,0.03,,,MAINSEQ,M,9.14,0.08,,0,0.06,0.12,V-K,3819,,V-K,,,,,,,,0.56,,Turnbull,0.49,,Turnbull,,,,A,0.25,,12.55,,0,,32.38,,1,0,1,0,0,2,0,7.62,0.025,0,7.075,0.042,0,6.79,0.022,0,,,,,,,,,,,,,HIP 31555
HIP 31592,HD 47205,GJ 239.1,2MASS J06364103-1915210,1,1,0,0,1,0,1,0,,1,,,,99.170829,,06h36m41.00s,-19.255709,,-19d15m20.6s,228.688177,,-11.796088,,0,19.75,,,62.3,,-69.9,,3.95,0.02,VT,Koornneef,1.06,0.02,BVT-G-Red,2.36,0.05,,K1III(+M),GIANT,GIANT,2.47,0.03,,0,11.99,0.06,V-K,4799,,Gray,3.05,,Gray,,,,,5.01,,Turnbull,1.89,,Turnbull,,,,,3.46,,175.31,,0,,31.49,,2,0,1,1,0,2,0,2.173,0.244,0,1.679,0.234,0,1.564,0.252,0,-0.682,,-1,-0.525,,-1,1.653,0.014,0,1.541,0.015,0,7 CMa
HIP 32010,HD 47752,GJ 241,2MASS J06411570+2357278,1,0,0,0,0,0,0,0,,0,06412+2356,,,100.314916,,06h41m15.58s,23.958388,,+23d57m30.2s,190.338385,,8.572242,,0.02,17.45,0.36,-0.34,206,,-276.8,,8.06,0.01,Koen,2MASS,1.06,0.01,Koen,2.56,0.03,,K2,MAINSEQ,K,6.85,0.06,,0,0.23,0.06,V-K,4707,,2005ApJS..159..141V,4.62,,2007ApJS..168..297T,-0.1,,,[Fe/H],0.71,,2007ApJS..168..297T,0.74,,2007ApJS..168..297T,4.1,,2005ApJS..159..141V,I,0.47,,27.21,,0,,31.28,,1,0,1,0,0,2,1,6.169,0.025,0,5.605,0.036,0,5.546,0.017,0,,,,,,,,,,,,,HIP 32010
HIP 32362,HD 48737,GJ 242,2MASS J06451737+1253438,1,1,0,0,0,1,1,0,,0,,,,101.32264,,06h45m17.43s,12.896055,,+12d53m45.8s,200.739117,,4.502471,,0,18,,,-115.2,,-190.9,,3.32,0.02,VT,1966CoLPL...4...99J,0.44,0.01,G,1.02,0.05,,F5IV,MAINSEQ,F,2.05,0.02,,0,12.77,0.06,V-K,6455,,Gray,3.61,,Gray,,,,,2.86,,Turnbull,1.92,,Turnbull,,,,A,3.57,,198.56,,0,,30.93,,1,0,1,0,0,2,0,1.996,0.23,0,1.811,0.168,0,1.688,0.22,0,,,,,,,,,,,,,HIP 32362
